cluster,sub_cluster,prefecture,worker_prefecture,item_label,item_label_vi,item_label_english,Price per unit,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,My Total,is_duplicate,is_outlier,is_same_prefecture,distance_proxy,sub_median_x,sub_mean_x,sub_std_x,sub_min_x,sub_max_x,sub_count_x,pref_median_x,pref_std_x,worker_median_x,worker_std_x,dist_median_x,dist_std_x,item_median_x,item_std_x,item_count_x,price_pred,price_residual,diff_from_sub_median,pct_diff_from_sub,diff_from_item_median,sub_median_y,sub_mean_y,sub_std_y,sub_min_y,sub_max_y,sub_count_y,pref_median_y,pref_std_y,worker_median_y,worker_std_y,dist_median_y,dist_std_y,item_median_y,item_std_y,item_count_y,expected,std,lower_std,upper_std,is_in_hensachi_range
0,0.sub1,茨城県,東京都,上記交換作業費※ﾊﾟﾝｶｰﾙｰﾊﾞ��取外し含む 夜間作業想定,Phí thay thế nêu trên đã bao gồm việc tháo dỡ các nan cửa gió của hệ thống pantograph. Giả định công việc được thực hiện vào ban đêm.,The above replacement work fee includes removal of the pantograph louvers. Nighttime work is assumed.,12000.0,,,,,,,48000.0,False,False,0,1,50000.0,50636.36364,27503.71876,12000.0,90000,11,12000.0,,50000.0,27503.71876,50000.0,27503.71876,12000.0,,1,11021.537193097025,978.462806902975,-38000.0,-0.76,0.0,50000.0,50636.36363636364,27503.71875682533,12000.0,90000.0,11,12000.0,,50000.0,27503.71875682533,50000.0,27503.71875682533,12000.0,,1,50636.36363636364,27503.71875682533,23132.64487953831,78140.08239318896,False
0,0.sub1,愛知県,東京都,上記交換作業費※夜間作業,Phí thay thế nhân công nêu trên *Công việc ban đêm,The above replacement work fee *Nighttime work,25000.0,,,,,,,25000.0,False,False,0,1,50000.0,50636.36364,27503.71876,12000.0,90000,11,27500.0,3535.533906,50000.0,27503.71876,50000.0,27503.71876,25000.0,,1,10111.878899082929,14888.121100917071,-25000.0,-0.5,0.0,50000.0,50636.36363636364,27503.71875682533,12000.0,90000.0,11,27500.0,3535.5339059327375,50000.0,27503.71875682533,50000.0,27503.71875682533,25000.0,,1,50636.36363636364,27503.71875682533,23132.64487953831,78140.08239318896,True
0,0.sub1,岐阜県,東京都,桝ﾓﾙﾀﾙ補修作業費 材工共※夜間��業/2箇所分,Chi phí sửa chữa vữa xi măng trong hố ga (bao gồm vật liệu và nhân công) *Làm việc ban đêm/cho 2 vị trí,Cost of repairing mortar in manholes (materials and labor included) *Nighttime work/for 2 locations,30000.0,,,,,,,60000.0,False,False,0,1,50000.0,50636.36364,27503.71876,12000.0,90000,11,40000.0,11547.00538,50000.0,27503.71876,50000.0,27503.71876,30000.0,0.0,2,15757.232815964247,14242.767184035753,-20000.0,-0.4,0.0,50000.0,50636.36363636364,27503.71875682533,12000.0,90000.0,11,40000.0,11547.005383792517,50000.0,27503.71875682533,50000.0,27503.71875682533,30000.0,0.0,2,50636.36363636364,27503.71875682533,23132.64487953831,78140.08239318896,True
0,0.sub1,岐阜県,東京都,桝ﾓﾙﾀﾙ補修作業費 材工共※夜間��業/2箇所分,Chi phí sửa chữa vữa xi măng trong hố ga (bao gồm vật liệu và nhân công) *Làm việc ban đêm/cho 2 vị trí,Cost of repairing mortar in manholes (materials and labor included) *Nighttime work/for 2 locations,30000.0,,,,,,,60000.0,True,False,0,1,50000.0,50636.36364,27503.71876,12000.0,90000,11,40000.0,11547.00538,50000.0,27503.71876,50000.0,27503.71876,30000.0,0.0,2,15757.232815964247,14242.767184035753,-20000.0,-0.4,0.0,50000.0,50636.36363636364,27503.71875682533,12000.0,90000.0,11,40000.0,11547.005383792517,50000.0,27503.71875682533,50000.0,27503.71875682533,30000.0,0.0,2,50636.36363636364,27503.71875682533,23132.64487953831,78140.08239318896,True
0,0.sub1,愛知県,東京都,ﾓﾙﾀﾙ補修作業費※材工共 ※夜間��業,Phí sửa chữa vữa (bao gồm vật liệu và nhân công) *Công việc ban đêm,Mortar repair work fee (materials and labor included) *Nighttime work,30000.0,,,,,,,30000.0,False,False,0,1,50000.0,50636.36364,27503.71876,12000.0,90000,11,27500.0,3535.533906,50000.0,27503.71876,50000.0,27503.71876,30000.0,,1,10111.878899082929,19888.121100917073,-20000.0,-0.4,0.0,50000.0,50636.36363636364,27503.71875682533,12000.0,90000.0,11,27500.0,3535.5339059327375,50000.0,27503.71875682533,50000.0,27503.71875682533,30000.0,,1,50636.36363636364,27503.71875682533,23132.64487953831,78140.08239318896,True
0,0.sub1,岐阜県,東京都,上記張替作業費 ※夜間作業,Phí thay thế nhân công nêu trên *Công việc ban đêm,The above replacement work fee *Night work,50000.0,,,,,,,50000.0,False,False,0,1,50000.0,50636.36364,27503.71876,12000.0,90000,11,40000.0,11547.00538,50000.0,27503.71876,50000.0,27503.71876,50000.0,0.0,2,15757.232815964247,34242.76718403575,0.0,0.0,0.0,50000.0,50636.36363636364,27503.71875682533,12000.0,90000.0,11,40000.0,11547.005383792517,50000.0,27503.71875682533,50000.0,27503.71875682533,50000.0,0.0,2,50636.36363636364,27503.71875682533,23132.64487953831,78140.08239318896,True
0,0.sub1,岐阜県,東京都,上記張替作業費 ※夜間作業,Phí thay thế nhân công nêu trên *Công việc ban đêm,The above replacement work fee *Night work,50000.0,,,,,,,50000.0,True,False,0,1,50000.0,50636.36364,27503.71876,12000.0,90000,11,40000.0,11547.00538,50000.0,27503.71876,50000.0,27503.71876,50000.0,0.0,2,15757.232815964247,34242.76718403575,0.0,0.0,0.0,50000.0,50636.36363636364,27503.71875682533,12000.0,90000.0,11,40000.0,11547.005383792517,50000.0,27503.71875682533,50000.0,27503.71875682533,50000.0,0.0,2,50636.36363636364,27503.71875682533,23132.64487953831,78140.08239318896,True
0,0.sub1,長野県,東京都,上記張替作業費 夜間作業  ※ｺｰｷﾝｸﾞ作業含む,Phí thay thế nêu trên đã bao gồm công việc ban đêm và trám khe hở.,The above replacement work fee includes night work and caulking.,80000.0,,,,,,,80000.0,False,False,0,1,50000.0,50636.36364,27503.71876,12000.0,90000,11,80000.0,0.0,50000.0,27503.71876,50000.0,27503.71876,80000.0,0.0,3,12719.67391304343,67280.32608695657,30000.0,0.6,0.0,50000.0,50636.36363636364,27503.71875682533,12000.0,90000.0,11,80000.0,0.0,50000.0,27503.71875682533,50000.0,27503.71875682533,80000.0,0.0,3,50636.36363636364,27503.71875682533,23132.64487953831,78140.08239318896,False
0,0.sub1,長野県,東京都,上記張替作業費 夜間作業  ※ｺｰｷﾝｸﾞ作業含む,Phí thay thế nêu trên đã bao gồm công việc ban đêm và trám khe hở.,The above replacement work fee includes night work and caulking.,80000.0,,,,,,,80000.0,True,False,0,1,50000.0,50636.36364,27503.71876,12000.0,90000,11,80000.0,0.0,50000.0,27503.71876,50000.0,27503.71876,80000.0,0.0,3,12719.67391304343,67280.32608695657,30000.0,0.6,0.0,50000.0,50636.36363636364,27503.71875682533,12000.0,90000.0,11,80000.0,0.0,50000.0,27503.71875682533,50000.0,27503.71875682533,80000.0,0.0,3,50636.36363636364,27503.71875682533,23132.64487953831,78140.08239318896,False
0,0.sub1,長野県,東京都,上記張替作業費 夜間作業  ※ｺｰｷﾝｸﾞ作業含む,Phí thay thế nêu trên đã bao gồm công việc ban đêm và trám khe hở.,The above replacement work fee includes night work and caulking.,80000.0,,,,,,,80000.0,True,False,0,1,50000.0,50636.36364,27503.71876,12000.0,90000,11,80000.0,0.0,50000.0,27503.71876,50000.0,27503.71876,80000.0,0.0,3,12719.67391304343,67280.32608695657,30000.0,0.6,0.0,50000.0,50636.36363636364,27503.71875682533,12000.0,90000.0,11,80000.0,0.0,50000.0,27503.71875682533,50000.0,27503.71875682533,80000.0,0.0,3,50636.36363636364,27503.71875682533,23132.64487953831,78140.08239318896,False
